ClassName,ID,English_Original,Vietnamese_Current
Ch52,followup_odd_006,"Because our cell brains are connected to the atemporal state of the quantum core.
That's what helps us remember everything.","Bởi vì bộ não tế bào của chúng mình được kết nối với trạng thái phi thời gian của lõi lượng tử.
Đó là điều giúp chúng mình ghi nhớ mọi thứ."
Ch52,followup_yumi_002,"Of course if we are dead zombies (remember Ulrich ?) on the moment on which we gets zapped back, our brain cannot send any signals.","Tất nhiên, nếu chúng ta là những thây ma đã chết (bạn có nhớ Ulrich không?) vào thời điểm chúng ta bị đánh trả, não của chúng ta không thể gửi bất kỳ tín hiệu nào."
Ch52,followup_odd_007,"So I would say that the same thing happened to you sir. Back in Carthage, you experienced the same double","Vì vậy, tôi sẽ nói rằng điều tương tự cũng xảy ra với bạn, thưa bạn. Trở lại Carthage, bạn đã trải qua điều tương tự"
Ch52,followup_odd_008,"thing at the time before you build the new supercomputer, because you carried its core to carried","Vào thời điểm trước khi bạn chế tạo siêu máy tính mới, bởi vì bạn đã mang lõi của nó để mang theo"
Ch52,followup_odd_009,Jut a glimpse that I soon took as a,Chỉ là một cái nhìn thoáng qua mà tôi đã sớm coi là
Ch52,followup_odd_010,If I may. Sorry to interrupt but.,Nếu tôi có thể. Xin lỗi đã làm gián đoạn nhưng.
Ch52,followup_odd_011,Why didn't we had a vision,Tại sao chúng ta không có tầm nhìn
Ch53,jeremieConvinced_jeremie_001,The flashes. I'll be able to remember all of them.,Những tia chớp. Tôi sẽ có thể nhớ tất cả chúng.
Ch53,jeremieConvinced_jeremie_002,(il ressort ces plans du casque neuronal devant aelita),(il ressort ces Plans du casque nơ-ron thần kinh phát triển aelita)
Ch53,jeremieConvinced_jeremie_003,The neural headset I did back in the day. It should trigger it all.,Chiếc tai nghe thần kinh mà tôi đã làm ngày trước. Nó sẽ kích hoạt tất cả.
Ch53,jeremieConvinced_aelita_001,This... I don't think I...,Chuyện này... Tôi không nghĩ là tôi...
Ch53,jeremieConvinced_jeremie_004,Yes. This can work. We can save him!,Đúng. Điều này có thể làm việc. Chúng ta có thể cứu anh ấy!
Ch53,jeremieConvinced_aelita_002,That's not what I mean Jeremy.,Ý tôi không phải vậy Jeremy.
Ch53,jeremieConvinced_aelita_003,Are you sure you're doing it for me... Or for you?,Bạn có chắc là bạn đang làm điều đó cho tôi... Hay cho bạn?
Ch53,jeremieConvinced_jeremie_005,I'm sorry Aelita but I can't...,Tôi xin lỗi Aelita nhưng tôi không thể...
Ch53,jeremieConvinced_jeremie_006,I've seen your diary and I just can't pretend this is fine.,Tôi đã xem nhật ký của bạn và tôi không thể giả vờ rằng điều này ổn.
Ch53,jeremieConvinced_jeremie_007,It isn't. But you should let me try.,Không phải vậy. Nhưng bạn nên để tôi thử.
Ch00,hurry_suzanne_001,Aelita! How are you?,Aelita! Em có khỏe không?
Ch00,hurry_aelita_001,Oh. Good evening Suzanne.,Ồ. Chào buổi tối Suzanne.
Ch00,hurry_suzanne_002,"You seem to be in a hurry.
Do you have a rehearsal with your band?",Có vẻ như bạn đang vội.
Ch00,hurry_aelita_002,"Yes, exactly, sorry.
I have to go!","Ừm, chính xác, xin lỗi."
Ch00,hurry_suzanne_003,Have a nice evening.,Chúc một buổi tối vui vẻ.
Ch00,hurryTlk_suzanne_001,Ah... The latecomer!,A... Kẻ đến sau!
Ch00,hurryTlk_suzanne_002,"Remember I was supposed to make you study
for the contest today?",Bạn có nhớ rằng hôm nay tôi đã phải nhờ bạn ôn tập
Ch00,hurryTlk_jeremie_001,"It's just that I have another commitment...
Can we postpone it to later tonight?",Chỉ là tôi có một cam kết khác...
Ch00,hurryTlk_suzanne_003,"Okay, without fail.
You won't forget?","Được rồi, không có lỗi phải không?"
Ch00,hurryTlk_jeremie_002,I promise!,Tớ hứa!
Ch00,reassure_franz_001,"So Kiwi... Do you feel ready to eliminate Xana
once and for all?",Vậy Kiwi... Bạn có cảm thấy sẵn sàng loại bỏ Xana
Ch00,reassure_kiwi_001,Wif?,Vợ?
Ch00,reassure_franz_002,"Of course I have doubts! But...
an update of the supercomputer's circuits,
and nothing will resist it!",Tất nhiên là tôi có nghi ngờ! Nhưng...
Ch00,reassure_kiwi_002,... Wuf!,... Ối!
Ch00,reassure_franz_003,"Yes! That's the spirit!
Good dog!",Đây chính là sự nhiệt tình mà tôi muốn nghe!
Ch00,arrivalShore_aelita_001,"[PlayerName], hurry up!","[Tên người chơi], nhanh lên!"
Ch00,arrivalShore_jeremie_001,I'm here!,Tớ ở đây!
Ch00,worriedAe_aelita_001,"I'm worried, William's not answering.
Usually he's the first to react.","Tôi lo lắng, William không trả lời."
Ch00,aeCheckState_aelita_001,The... the tower... I need to take care of it...,Cái... Tòa tháp... Tớ cần phải chăm sóc nó...
Ch00,aeCheckState_jeremie_001,"Don’t move, Franz deactivated it.
The threat is over...","Đừng cử động, Franz đã tắt nó rồi."
Ch00,fqwillState_question_jeremie,Is William okay?,William ổn không?
Ch00,fqwillState_ulrich_001,...I thought Lyoko was the worst thing that ever happened to him.,Không thực sự.
Ch00,fqwillState_ulrich_002,"Where's Aelita?
Wasn't she coming with you?",Aelita ở đâu?
Ch00,fqwillState_jeremie_001,"She is badly hurt,
I have to go launch the return to the past.","Cô ấy bị thương nặng rồi,"
Ch00,fqwhatHappened_question_jeremie,What happened?,Chuyện gì đã xảy ra thế?
Ch00,fqwhatHappened_ulrich_001,"We were devirtualized in less than a minute. And if things weren't bad enough,
monsters appeared on Earth!",Chúng tôi đã bị ảo hóa trong vòng chưa đầy một phút.
Ch00,fqwhatHappened_ulrich_002,"XANA seems to have found a way to bring them here,
without even using the scanners...","Xana dường như đã tìm ra cách đưa họ đến đây,"
Ch00,fqYstate_question_jeremie,Where’s Yumi?,Yumi đâu?
Ch00,fqYstate_ulrich_001,"As far as I know,
still virtualized on Lyoko.",Theo như tôi biết thì
Ch00,fqYstate_ulrich_002,She was helping Franz and his mantas deactivate the tower.,Cô ấy đang giúp Franz và cá đuối của anh ấy vô hiệu hóa tòa tháp.
Ch00,fqYstate_ulrich_003,I hope she’s okay...,Tớ hy vọng cô ấy ổn...
Ch00,fqOstate_question_jeremie,Is Odd okay?,Odd có ổn không?
Ch00,fqOstate_ulrich_001,I don't know.,Tớ không biết.
Ch00,fqOstate_ulrich_002,"He's trying to find Kiwi, who escaped
into the air ducts.",Anh ấy cố gắng tìm Kiwi đã trốn thoát
Ch00,fqOstate_ulrich_003,He was spooked by the monsters.,Anh ta bị lũ quái vật làm cho sợ hãi.
Ch00,fqThanks_question_jeremie,(Leave),(Rời khỏi)
Ch00,fqThanks_jeremie_001,Thanks,Cảm ơn
Ch00,dogKo_odd_001,"The Kolossus appeared for a second,
he destroyed the walls and...","Kolossus xuất hiện trong giây lát,"
Ch00,dogKo_odd_002,And then Kiwi tried to... he...,Và rồi Kiwi cố gắng... Anh ấy...
Ch00,dogKo_odd_003,"Do something, [PlayerName]. Please...","Hãy làm gì đó đi, [Tên người chơi]. Vui lòng..."
Ch00,angryMan_franz_001,Where's Anthea... Where's my wife?!,Anthea đâu... Vợ tớ đâu?!
Ch00,angryMan_franz_002,What did you do to her?!,Anh đã làm gì cô ấy thế?!
Ch00,angryMan_franz_003,Ugh. My head...,Ờ. Đầu tớ...
Ch00,aSolution_franz_001,...Sorry [PlayerName].,...Xin lỗi [Tên người chơi].
Ch00,aSolution_jeremie_001,"Franz...
How has XANA managed to do... all this?",Franz...
Ch00,aSolution_franz_002,"He studied you, he saw the way you attacked his factories.","Anh ấy đã nghiên cứu anh, anh ấy đã thấy cách anh tấn công các nhà máy của anh ấy."
Ch00,aSolution_franz_003,"Give him time, and he'll be able to do anything...","Hãy cho anh ấy thời gian, và anh ấy sẽ có thể làm bất cứ điều gì..."
Ch00,aSolution_jeremie_002,Maybe if I shutdown the supercomputer...,Có lẽ nếu tớ tắt siêu máy tính...
Ch00,aSolution_franz_004,"You still think you can fix everything, eh?",Cậu vẫn nghĩ mình có thể sửa chữa được mọi thứ phải không?
Ch00,aSolution_franz_005,"That's why, years ago,
I finally told you to stop.","Đây chính xác là lý do tại sao nhiều năm trước,"
Ch00,aSolution_jeremie_003,"Well, I didn't,
and I managed to defeat his robot army. Didn't I?","Chà, tôi đã không làm thế,"
Ch00,aSolution_franz_006,"Yes... yes you did.
Anti-Xana Mark 8 was remarkable.","Vâng... vâng, bạn đã làm vậy."
Ch00,aSolution_franz_007,"However, even with that, XANA has evolved too much.
My mantas could do nothing.","Tuy nhiên, ngay cả với điều đó, XANA đã phát triển quá nhiều."
Ch00,aSolution_franz_008,Use the CD...,Hãy sử dụng đĩa CD...
Ch00,aSolution_jeremie_004,"No... No! Surely I can use the normal
return to the past.",Không... Không! Chắc chắn tôi có thể sử dụng
Ch00,aSolution_franz_009,You know it wouldn't work.,Cậu biết nó sẽ không hiệu quả.
Ch00,aSolution_franz_010,I should have launched this version of the program a long time ago.,Đáng lẽ tớ phải tung ra phiên bản này của chương trình từ lâu rồi.
Ch00,aSolution_franz_011,...This is the only thing we can do.,...Đây là điều duy nhất chúng ta có thể làm.
Ch00,lastConv_yumi_001,[PlayerName]!,[Tên người chơi]!
Ch00,lastConv_jeremie_001,"Yumi?
Is that you?",Yumi?
Ch00,lastConv_yumi_002,"The elevator was damaged by some kind of earthquake.
I'm stuck!",Thang máy đã bị hư hỏng do một trận động đất nào đó. Tôi bị mắc kẹt!
Ch00,lastConv_yumi_003,How are the others?,Những người khác thế nào?
Ch00,lastConv_jeremie_002,"Not good at all. It's catastrophic.
And the towers are still activated.",Không tốt chút nào. Thật là thảm họa.
Ch00,lastConv_jeremie_003,"Yumi, I... I've launched the return to the past...","Yumi, tớ... Tớ đã khởi động việc quay về quá khứ..."
Ch00,lastConv_yumi_004,"Launched it? But, XANA can hack it with the activated tow...","Ra mắt nó? Tuy nhiên, XANA có thể hack nó bằng cách kích hoạt kéo..."
Ch00,lastConv_yumi_005,"Oh! You mean the other return to the past...
I understood it was different, but not to that extent.",Ồ ! Bạn đang nói về việc quay về quá khứ khác...
Ch00,lastConv_yumi_006,"So... the situation is that bad.
XANA has beaten us for good this time...",Vậy... tình hình tệ quá.
Ch00,lastConv_yumi_007,"We'll be back to when it all started.
When was it?... 2001?... 2003?",Chúng ta sẽ quay lại thời điểm mọi chuyện bắt đầu.
Ch00,lastConv_jeremie_004,That seems so far away...,Điều đó dường như thật xa vời...
Ch00,lastConv_yumi_008,...,...
Ch00,lastConv_yumi_009,"Do you remember the first time
I invited you home?",Bạn có nhớ lần đầu tiên
Ch00,lastConv_jeremie_005,"Yeah. Ulrich and Odd were late.
We ended up confiding in each other for a long time.",Vâng. Ulrich và Odd đến muộn.
Ch00,lastConv_yumi_010,I had the feeling of discovering a new little brother.,Tớ có cảm giác như đang khám phá ra một đứa em trai mới.
Ch00,lastConv_jeremie_006,Really? You never told me.,Thật sự? Cậu chưa bao giờ nói với tớ.
Ch00,lastConv_yumi_011,"Better late than never.
It was good times.",Bây giờ đã xong.
Ch00,lastConv_yumi_012,...,...
Ch00,lastConv_yumi_013,It would be nice if we remembered that.,Sẽ thật tốt nếu chúng ta nhớ điều đó.
Ch00,lastConv_jeremie_007,"... If it happens, that would be...","... Nếu điều đó xảy ra, đó sẽ là..."
Ch00,lastConv_jeremie_008,... a great gift.,... Một món quà tuyệt vời.
Ch00,lastConv_yumi_014,Let's hope.,Hãy hy vọng.
Ch00,onBlue_franz_001,This time... promise me that things will stay the same.,Lần này... Hứa với em rằng mọi chuyện sẽ như cũ nhé.
Ch00,explainBoat_aelita_001,"Odd and Yumi were devirtualized, they called William for backup.","Odd và Yumi bị ảo hóa, họ gọi William đến hỗ trợ."
Ch00,explainBoat_jeremie_001,That bad? But your dad already said that it was too dangerous to virtualize him,Tệ đến thế à? Nhưng bố của cậu đã nói rằng việc ảo hóa ông ấy là quá nguy hiểm
Ch00,explainBoat_aelita_002,"Oh no... It's not to virtualize him, it's to defend the factory!","Ồ không... Không phải để ảo hóa anh ta, mà là để bảo vệ nhà máy!"
Ch00,explainBoat_aelita_003,Xana hacked the scanners and materialized monsters all over the place,Xana đã hack scanners và hiện thực hóa quái vật khắp nơi
Ch00,explainBoat_aelita_004,"Dad managed to block the system, but now Xana teleports them directly to earth","Bố đã chặn được hệ thống, nhưng giờ Xana dịch chuyển họ trực tiếp xuống trái đất"
Ch00,explainBoat_aelita_005,How can we do that? This is not supposed to be possible on our factory,Làm thế nào chúng ta có thể làm điều đó? Điều này lẽ ra không thể thực hiện được ở nhà máy của chúng tớ
Ch00,bayCrash_jeremie_001,Arrh... Hmm..,Arrh... Hmm..
Ch00,bayCrash_jeremie_002,Aelita? AELITA! Answer me! Ohh...,Aelita? AELITA! Trả lời tớ đi! ồ...
Ch01,meetHer_jeremie_001,Wow...,Ồ...
Ch01,meetHer_jeremie_002,"What's all this?
...A videogame?",Thứ này là gì vậy?
Ch01,meetHer_aelita_001,Who are you?,Cậu là ai?
Ch01,meetHer_aelita_002,Where am I?,Tớ đang ở đâu?
Ch01,meetHer_jeremie_003,Uh? Did you hear what I just said?,Ờ? Cậu có nghe thấy điều tớ vừa nói không?
Ch01,meetHer_aelita_003,"Yes of course.
I see you too!",Vâng vâng tất nhiên.
Ch01,meetHer_jeremie_004,Woah!,Ôi!
Ch01,meetHer_jeremie_005,"Well then, dear artificial intelligence, I guess
we're gonna have a few things to talk about.","Vậy thì trí tuệ nhân tạo thân mến, tôi đoán"
Ch01,stairsNerd_thomas_001,Yo.,Này.
Ch01,stairsNerd_thomas_002,You're the nerd who gets 20 out of 20 in everything but sports...,Cậu là người mọt sách đạt 20 trên 20 ở mọi thứ trừ thể thao...
Ch01,stairsNerd_julien_001,You're weird.,Cậu thật kỳ lạ.
Ch01,warnNotes_emilie_001,"Hey Jeremy.
Mrs Hertz talked to us about you today.",Chào Jeremy.
Ch01,warnNotes_jeremie_001,Us... you mean your whole class?,Chúng tớ... ý cậu là cả lớp của cậu?
Ch01,warnNotes_emilie_002,"Yeah. She was complaining that we didn't all
get as good grades as you...",Vâng. Cô ấy phàn nàn rằng không phải tất cả chúng tôi đều có
Ch01,warnNotes_emilie_003,"Try to get a little less than 20 out of 20,
it could avoid jealousy.","Cố gắng đạt ít hơn 20 trên 20 một chút,"
Ch01,shower_jeremie_001,"Hm?
What are you doing here?",Vậy thì sao?
Ch01,shower_tamiya_001,"We came to see if you had any hot water on the boys' floor.
Sissi’s used up all our water.",Chúng tôi đến để xem bạn có nước nóng không
Ch01,shower_milly_001,"And you, what are you doing?
Were you going out?","Còn bạn, bạn đang làm gì?"
Ch01,shower_jeremie_002,"Er, yes. I need... more scrap metal
for my robots.",Ừm vâng. Tôi cần... thêm
Ch01,shower_tamiya_002,Scrap metal? ... But then...,Phế liệu kim loại? ... Nhưng sau đó...
Ch01,shower_milly_002,"Ha! So it was you who ransacked
the gardener’s shed last month!",Hà! Vậy ra chính bạn là người đã cướp
Ch01,shower_tamiya_003,"Careful, Milly, we're very close to a scoop.","Cẩn thận, Milly, chúng ta sắp có tin sốt dẻo rồi."
Ch01,warnLocker_jim_001,"Pinch me, I must be dreaming,
Belpois is actually doing us the honor of
coming out of his room!","Hãy véo tôi đi, chắc tôi đang mơ,"
Ch01,warnLocker_jeremie_001,Hem... ?,Ừm...?
Ch01,warnLocker_jim_002,"Don’t say any more. I’ve got it!
I, too, was once young, shy,
and even a bit of a weakling, just like you …",Đừng nói nữa. Tôi đã có nó!
Ch01,warnLocker_jim_003,"You finally want to get out and build yourself
an athlete’s physique. But on the quiet, when the sports
ground is deserted, at sunset…",Cuối cùng bạn cũng muốn ra ngoài và xây dựng cho mình
Ch01,warnLocker_jim_004,"That's why you didn't even bother putting on
your sports clothes... Just to slip past the watchful eyes of
your little buddies and mine.",Đó là lý do tại sao bạn thậm chí còn không thèm mặc
Ch01,warnLocker_jeremie_002,Hem...,Ừm...
Ch01,warnLocker_jim_005,"Oh yes, NOTHING escapes me!
But you can't fool an old sea wolf like me,
on the word of Jim Morales!","Và vâng, KHÔNG CÓ GÌ thoát khỏi tôi."
Ch01,warnLocker_jim_006,"Go on, kid. Go ahead.",Đi tiếp đi nhóc. Hãy tiếp tục.
Ch01,workingLocker_jim_001,"Damn lock!
Don't you want to open?",Ổ khóa chết tiệt!
Ch01,workingLocker_jim_002,You think you'll be able to resist me?,Các cậu nghĩ các cậu sẽ có thể chống lại tôi?
Ch01,wanderingTeacher_meyer_001,"Hello [PlayerName].
Isn't it a little late to be walking around outside?",Xin chào [Tên người chơi].
Ch01,wanderingTeacher_meyer_002,Remember you have a math test tomorrow.,Hãy nhớ rằng ngày mai cậu có bài kiểm tra toán.
Ch01,wanderingTeacher_suzanne_001,I'm sure he'll just do some science experiments in the park.,"Chào em, cô muốn kể cho em nghe một câu chuyện"
Ch01,wanderingTeacher_suzanne_002,"We have a clear sky tonight,
make sure you review the constellations [PlayerName].",Jim! Trả lời cô đi.
Ch01,poetryTime_gilles_001,"<i>""I remember!
I saw everything, flower, spring, furrow...""</i>","<i> ""Tôi nhớ rồi!"
Ch01,poetryTime_gilles_002,"<i>""...swoon under his eye like a beating heart...""</i>","<i> ""...ngất dưới ánh mắt anh như trái tim đang đập..."" </i>"
Ch01,poetryTime_gilles_003,"<i>""Let us run towards the horizon, it is late, let us run quickly,
to catch at least one slanting ray!""</i>","<i> “Chúng ta hãy chạy về phía chân trời, muộn rồi, chúng ta hãy chạy nhanh lên,"
Ch01,poetryTime_gilles_004,"Yes. I know.
It's impressive.",Vâng tôi biết.
Ch01,poetryTime_gilles_005,"How can I be so inspired, while I'm just teaching history and geography?",Làm sao một giáo viên lịch sử và địa lý đơn giản
Ch01,poetryTime_gilles_006,"I don't have the words.
Isn't that the beauty of a mystery?",Tôi không có lời.
Ch01,wanderingStudents_matthieu_001,How about trying to sneak out tonight ?,Tối nay thử lẻn ra ngoài thì sao?
Ch01,wanderingStudents_tania_001,"It's too risky.
Jim has increased his nightly patrols of the dorms.",Nó quá rủi ro.
Ch01,brokenLocker_bastien_001,"Some moron tried to open the lockers by force;
they're all stuck now...",Một kẻ ngu ngốc nào đó đã cố gắng mở tủ bằng vũ lực;
Ch01,brokenLocker_jeremie_001,...,...
Ch01,noSport_jim_001,I didn’t see you on the sports field last night.,Tôi đã không nhìn thấy các cậu trên sân thể thao tối qua.
Ch01,noSport_jim_002,"You’re not making fun of me, are you?",Các cậu không trêu chọc tôi phải không?
Ch01,newGuy_bastien_001,"[PlayerName], have you heard the news? There's a new guy moving into Ulrich's bedroom.",Bạn đã nghe tin [ChơierName] chưa?
Ch01,newGuy_ulrich_001,What? What are you talking about?,Cái gì? Cậu đang nói về cái gì vậy?
Ch01,newGuy_bastien_002,"You don't know? But... 
M. Moralès told us this morning.",Bạn không biết à? Nhưng...
Ch01,newGuy_bastien_003,"He said it at soccer practice!
Right before our warm-up.",Anh ấy đã nói điều đó ở buổi tập bóng đá!
Ch01,newGuy_ulrich_002,That's not important! And since when can a new guy show up a month after the beginning of the school year?,Điều đó không quan trọng! Và từ khi nào một chàng trai mới có thể xuất hiện sau một tháng kể từ khi năm học bắt đầu?
Ch01,newGuy_bastien_004,"I don't know, dude, but you have a double bedroom.
This was unavoidable.","Tôi không biết, anh bạn, nhưng anh có phòng ngủ đôi."
Ch01,newGuy_ulrich_003,"...Nah!
I'm sure you're joking.",Bất cứ điều gì.
Ch01,newGuyB_bastien_001,"Ulrich left to clean his bedroom, right?","Ulrich dọn dẹp phòng ngủ của mình, phải không?"
Ch01,newGuyB_bastien_002,"I hope the new guy isn't gonna get on his nerves.
Ulrich's not really patient.",Tôi hy vọng anh chàng mới không khiến anh ta khó chịu.
Ch01,delmasSearchSissi_delmas_001,"Tell me Jeremy, you haven't seen my daughter, Sissi, around here by any chance?","Nói cho tớ biết đi Jeremy, cậu chưa thấy con gái tớ, Sissi, quanh đây phải không?"
Ch01,delmasSearchSissi_jeremie_001,"Hm, no sir, sorry.","Hm, không, thưa ngài, xin lỗi."
Ch01,delmasSearchSissi_delmas_002,"It's fine.
Have a good end of day.",Nó không quan trọng.
Ch01,interview_milly_001,"Hey, [PlayerName].
Did you meet him?","Này, [Tên người chơi]."
Ch01,interview_jeremie_001,...Who?,...Ai?
